targets,preds
[50700.0859375],[54313.605]
[50504.796875],[52677.938]
[47672.12109375],[51828.008]
[47243.3046875],[51887.88]
[49362.5078125],[51653.21]
[50098.3359375],[51132.875]
[46737.48046875],[50700.758]
[46612.6328125],[50100.36]
[48896.72265625],[50088.465]
[47665.42578125],[50289.715]
[46202.14453125],[49878.562]
[46848.77734375],[49097.77]
[46707.015625],[49170.96]
[46880.27734375],[49235.29]
[48936.61328125],[48662.17]
[48628.51171875],[48646.453]
[50784.5390625],[49157.45]
[50822.1953125],[49799.95]
[50429.859375],[50697.71]
[50809.515625],[51631.473]
[50640.41796875],[52082.848]
[47588.85546875],[52630.36]
[46444.7109375],[52281.914]
[47178.125],[51575.77]
[46306.4453125],[50811.387]
[47686.8125],[49757.195]
[47345.21875],[48797.33]
[46458.1171875],[48685.77]
[45897.57421875],[48821.39]
[43569.00390625],[48648.402]
[43160.9296875],[48388.883]
[41557.90234375],[47482.113]
[41733.94140625],[46329.824]
[41911.6015625],[45212.332]
[41821.26171875],[44163.215]
[42735.85546875],[43696.438]
[43949.1015625],[43428.016]
[42591.5703125],[43785.69]
[43099.69921875],[44097.625]
[43177.3984375],[44399.863]
[43113.87890625],[44746.84]
[42250.55078125],[44856.57]
[42375.6328125],[44546.492]
[41744.328125],[44545.277]
[40680.41796875],[44307.863]
[36457.31640625],[43868.47]
[35030.25],[42894.26]
[36276.8046875],[41614.69]
[36654.328125],[40067.125]
[36954.00390625],[38617.918]
[36852.12109375],[37494.168]
[37138.234375],[37557.906]
[37784.33203125],[38069.21]
[38138.1796875],[38342.25]
[37917.6015625],[38616.32]
[38483.125],[38856.453]
[38743.2734375],[39202.387]
[36952.984375],[39546.555]
[37154.6015625],[39568.504]
[41500.875],[39419.242]
[41441.1640625],[39709.08]
[42412.43359375],[40133.574]
[43840.28515625],[40798.234]
[44118.4453125],[42293.523]
[44338.796875],[43957.57]
[43565.11328125],[44598.805]
[42407.9375],[45256.92]
[42244.46875],[45512.57]
[42197.515625],[45240.75]
[42586.91796875],[44793.633]
[44575.203125],[44275.465]
[43961.859375],[44181.742]
[40538.01171875],[44512.082]
[40030.9765625],[44599.156]
[40122.15625],[44417.418]
[38431.37890625],[43918.152]
[37075.28125],[42588.28]
[38286.02734375],[41106.543]
[37296.5703125],[40479.84]
[38332.609375],[39866.746]
[39214.21875],[39265.094]
[39105.1484375],[39267.043]
[37709.78515625],[39724.715]
[43193.234375],[39763.312]
[44354.63671875],[40559.355]
[43924.1171875],[41551.26]
[42451.7890625],[42590.3]
[39137.60546875],[43670.062]
[39400.5859375],[44752.84]
[38419.984375],[44042.91]
[38062.0390625],[42729.246]
[38737.26953125],[41321.664]
[41982.92578125],[40280.406]
[39437.4609375],[40466.594]
[38794.97265625],[40586.273]
[38904.01171875],[40894.27]
[37849.6640625],[41219.67]
[39666.75390625],[41201.574]
[39338.78515625],[40365.418]
[41143.9296875],[40271.09]
[40951.37890625],[40576.797]
[41801.15625],[40994.91]
[42190.65234375],[41871.67]
[41247.82421875],[42398.992]
[41077.99609375],[43010.51]
[42358.80859375],[43076.605]
[42892.95703125],[43291.82]
[43960.93359375],[43389.75]
[44348.73046875],[43591.85]
[44500.828125],[44231.844]
[46820.4921875],[45041.22]
[47128.00390625],[45826.004]
[47465.73046875],[46697.39]
[47062.6640625],[47462.36]
[45538.67578125],[48196.555]
[46281.64453125],[48741.56]
[45868.94921875],[48626.41]
[46453.56640625],[48353.164]
[46622.67578125],[48004.477]
[45555.9921875],[47815.44]
[43206.73828125],[47959.96]
[43503.84765625],[47607.332]
[42287.6640625],[47174.695]
[42782.13671875],[46330.617]
[42207.671875],[45341.45]
[39521.90234375],[44533.363]
[40127.18359375],[44041.766]
[41166.73046875],[43281.562]
[39935.515625],[42869.25]
[40553.46484375],[42210.484]
[40424.484375],[41727.727]
[39716.953125],[41973.297]
[40826.21484375],[41981.04]
[41502.75],[41764.402]
[41374.37890625],[42009.215]
[40527.36328125],[42151.516]
[39740.3203125],[42294.758]
[39486.73046875],[42507.184]
[39469.29296875],[42289.22]
[40458.30859375],[41806.145]
[38117.4609375],[41413.066]
[39241.12109375],[41065.23]
[39773.828125],[40914.598]
[38609.82421875],[40882.062]
[37714.875],[40780.934]
[38469.09375],[40262.363]
[38529.328125],[40357.54]
[37750.453125],[40136.375]
[39698.37109375],[39697.297]
[36575.140625],[39732.637]
[36040.921875],[39796.316]
[35501.953125],[39440.43]
[34059.265625],[38853.367]
[30296.953125],[38199.49]
[31022.90625],[36445.29]
[28936.35546875],[35229.984]
[29047.75195312],[33759.113]
[29283.10351562],[32196.797]
[30101.265625],[30931.283]
[31305.11328125],[30739.096]
[29862.91796875],[30531.17]
[30425.85742188],[30880.203]
[28720.27148438],[31233.53]
[30314.33398438],[31358.066]
[29200.74023438],[31294.871]
[29432.2265625],[30831.79]
[30323.72265625],[30732.428]
[29098.91015625],[30567.945]
[29655.5859375],[30792.936]
[29562.36132812],[30598.89]
[29267.22460938],[30699.541]
[28627.57421875],[30704.28]
[28814.90039062],[30374.123]
[29445.95703125],[30336.213]
[31726.390625],[30185.176]
[31792.31054688],[30335.377]
[29799.08007812],[30775.422]
[30467.48828125],[31318.09]
[29704.390625],[31803.95]
[29832.9140625],[32016.19]
[29906.66210938],[31547.115]
[31370.671875],[31037.867]
[31155.47851562],[31214.105]
[30214.35546875],[31297.213]
[30111.99804688],[31555.727]
[29083.8046875],[31727.441]
[28360.81054688],[31728.186]
[26762.6484375],[31142.7]
[22487.38867188],[30333.195]
[22206.79296875],[29142.225]
[22572.83984375],[27520.85]
[20381.65039062],[25917.111]
[20471.48242188],[24161.717]
[19017.64257812],[22649.51]
[20553.27148438],[22034.113]
[20599.53710938],[21488.527]
[20710.59765625],[20876.145]
[19987.02929688],[20897.588]
[21085.87695312],[20863.74]
[21231.65625],[21292.285]
[21502.33789062],[21376.396]
[21027.29492188],[21522.031]
[20735.47851562],[21644.203]
[20280.63476562],[21919.182]
[20104.0234375],[21822.2]
[19784.7265625],[21606.531]
[19269.3671875],[21235.94]
[19242.25585938],[20894.074]
[19297.07617188],[20560.705]
[20231.26171875],[20315.512]
[20190.11523438],[20196.227]
[20548.24609375],[20224.506]
[21637.58789062],[20472.5]
[21731.1171875],[20892.344]
[21592.20703125],[21414.611]
[20860.44921875],[21748.373]
[19970.55664062],[22048.52]
[19323.9140625],[22111.328]
[20212.07421875],[21707.387]
[20569.91992188],[21252.775]
[20836.328125],[20874.287]
[21190.31640625],[20766.586]
[20779.34375],[20990.658]
[22485.68945312],[21401.938]
[23389.43359375],[21746.53]
[23231.73242188],[22209.69]
[23164.62890625],[22731.098]
[22714.97851562],[23235.805]
[22465.47851562],[23827.629]
[22609.1640625],[23906.459]
[21361.70117188],[23713.465]
[21239.75390625],[23418.979]
[22930.54882812],[23030.48]
[23843.88671875],[22868.883]
[23804.6328125],[22952.906]
[23656.20703125],[23135.953]
[23336.89648438],[23725.61]
[23314.19921875],[24346.914]
[22978.1171875],[24487.607]
[22846.5078125],[24327.299]
[22630.95703125],[24126.424]
[23289.31445312],[23911.668]
[22961.27929688],[23817.783]
[23175.890625],[23730.531]
[23809.48632812],[23756.094]
[23164.31835938],[23896.572]
[23947.64257812],[24083.574]
[23957.52929688],[24161.172]
[24402.81835938],[24375.242]
[24424.06835938],[24602.275]
[24319.33398438],[24714.768]
[24136.97265625],[25023.436]
[23883.29101562],[25106.059]
[23335.99804688],[25150.469]
[23212.73828125],[24985.309]
[20877.55273438],[24742.084]
[21166.06054688],[24243.76]
[21534.12109375],[23620.719]
[21398.90820312],[22996.469]
[21528.08789062],[22477.67]
[21395.01953125],[22002.635]
[21600.90429688],[22152.781]
[20260.01953125],[22243.334]
[20041.73828125],[22107.416]
[19616.81445312],[21895.682]
[20297.99414062],[21524.97]
[19796.80859375],[21177.9]
[20049.76367188],[20737.402]
[20127.140625],[20663.322]
[19969.77148438],[20662.842]
[19832.08789062],[20771.143]
[19986.71289062],[20677.367]
[19812.37109375],[20720.773]
[18837.66796875],[20676.873]
[19290.32421875],[20506.023]
[19329.83398438],[20345.281]
[21381.15234375],[20199.604]
[21680.5390625],[20225.56]
[21769.25585938],[20486.07]
[22370.44921875],[21145.445]
[20296.70703125],[21826.924]
[20241.08984375],[22365.652]
[19701.2109375],[22231.422]
[19772.58398438],[21874.043]
[20127.57617188],[21398.38]
[19419.50585938],[20758.014]
[19544.12890625],[20611.936]
[18890.7890625],[20453.066]
[18547.40039062],[20357.469]
[19413.55078125],[20145.152]
[19297.63867188],[19869.531]
[18937.01171875],[19800.922]
[18802.09765625],[19680.021]
[19222.671875],[19705.635]
[19110.546875],[19844.252]
[19426.72070312],[19752.074]
[19573.05078125],[19731.219]
[19431.7890625],[19847.406]
[19312.09570312],[20015.418]
[19044.10742188],[20060.46]
[19623.58007812],[20103.373]
[20336.84375],[20088.148]
[20160.71679688],[20133.947]
[19955.44335938],[20276.861]
[19546.84960938],[20463.389]
[19416.56835938],[20683.617]
[19446.42578125],[20698.102]
[19141.484375],[20483.28]
[19051.41796875],[20267.238]
[19157.4453125],[20065.324]
[19382.90429688],[19965.342]
[19185.65625],[19917.19]
[19067.63476562],[19856.08]
[19268.09375],[19866.451]
[19550.7578125],[19906.195]
[19334.41601562],[19952.703]
[19139.53515625],[19944.861]
[19053.74023438],[19971.494]
[19172.46875],[20005.22]
[19208.18945312],[19977.45]
[19567.0078125],[19874.094]
[19345.57226562],[19868.193]
[20095.85742188],[19926.871]
[20770.44140625],[20088.53]
[20285.8359375],[20339.691]
[20595.3515625],[20618.842]
[20818.4765625],[20850.596]
[20635.60351562],[21188.654]
[20495.7734375],[21335.598]
[20485.2734375],[21293.574]
[20159.50390625],[21363.207]
[20209.98828125],[21308.03]
[21147.23046875],[21171.639]
[21282.69140625],[21158.143]
[20926.48632812],[21262.17]
[20602.81640625],[21391.625]
[18541.27148438],[21581.66]
[15880.78027344],[21517.695]
[17586.77148438],[20751.547]
[17034.29296875],[19805.387]
[16799.18554688],[18834.725]
[16353.36523438],[17872.572]
[16618.19921875],[17391.162]
[16884.61328125],[17598.059]
[16669.43945312],[17363.635]
[16687.51757812],[17273.96]
[16697.77734375],[17247.447]
[16711.546875],[17341.924]
[16291.83203125],[17364.078]
[15787.28417969],[17275.186]
[16189.76953125],[17159.062]
[16610.70703125],[17020.21]
[16604.46484375],[16915.875]
[16521.84179688],[16840.887]
[16464.28125],[16896.777]
[16444.62695312],[17089.482]
[16217.32226562],[17169.338]
[16444.98242188],[17107.342]
[17168.56640625],[17049.533]
